indexid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
josephy0057,,"Bears Ears, Standing Rock, Indians and the Press",Rich Wandschneider,2017-05-09,"Blog entry from May 9, 2017",National monument;Bears Ears. Terry Tempest Williams;Standing Rock;Coyote Warrior,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/05/bears-ears-standing-rock-indians-and.html,record,url,eng,,
josephy0058,,Osage—and Lucky to be Here,Rich Wandschneider,2017-04-27,"Blog entry from April 27, 2017",Fishtrap;Oklahoma Indians;Maria Tallchief;Osage Indians;Sandra Osawa;osage murders;David Grann;Elise Paschen;Killers of the Flower Moon,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/04/osage-and-lucky-to-be-here.html,record,url,eng,,
josephy0059,,Indian Art is American Art,Rich Wandschneider,2017-04-19,"Blog entry from April 19, 2017",Metropolitan Museum of Art;Charles and Valerie Diker;500 nations;Rindisbacher;Alvin Josephy;Maria and Julian Martinez;MET,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/04/indian-art-is-american-art.html,record,url,eng,,
josephy0060,,Another Nez Perce book,Rich Wandschneider,2017-04-13,"Blog entry from April 13, 2017",Freedmen's Bureau;William Clark;Daytime Smoke;David Osborne;O.O. Howard;Daniel Sharfstein;Thunder in the Mountains;Nez Perce War;Chief Joseph;Think out loud,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/04/another-nez-perce-book-oregon-public.html,record,url,eng,,
josephy0061,,So the President lied?,Rich Wandschneider,2017-04-07,"Blog entry from April 7, 2017",Old Joseph;Smithsonian Magazine;Sioux;Lakota;Treaty of 1855;Presidential lies;Ulysses S. Grant;Nez Perce;Custer;President Grant,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/04/so-president-lied.html,record,url,eng,,
josephy0062,,It's the Water!,Rich Wandschneider,2017-03-17,"Blog entry from March 17, 2017",dugout canoe;Dr. Loren Davis;Bob Chenoweth;Nez Perce Park;Allen Pinkham;Wallowology;Lewis and Clark;Nez Perce Fisheries,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/03/its-water.html,record,url,eng,,
josephy0063,,The Great White Father,Rich Wandschneider,2017-03-08,"Blog entry from March 8, 2017",executive order;North Dakota;Dakota Access;Great White Father;David Osborne;Alvin Josephy;Bismarck;Standing Rock;Pawnee lawsuit,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/03/the-great-white-father.html,record,url,eng,,
josephy0064,,Two World War II Heroes,Rich Wandschneider,2017-03-01,"Blog entry from March 1, 2017",Gwen Coffin;Japanese internment;Richard White;Jean Wakatsuki Houston;Alvin Josephy;Manzanar;Wallowa County Chieftain;Executive order 9066,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/03/two-world-war-ii-heroes.html,record,url,eng,,
josephy0065,,Continuing outrage over Standing Rock,Rich Wandschneider,2017-02-16,"Blog entry from February 16, 2017",New York Times;Jill Turkewitz;Standting Rock;Alvin Josephy,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/02/continuring-outrage-over-standing-rock.html,record,url,eng,,
josephy0066,,Before Alvin wrote about Indians—Denig's Demons,Rich Wandschneider,2017-02-15,"Blog entry from February 15, 2017",BGen Robert Denig;Denig's Demons;Leatherneck Magazine;Alvin Josephy;US Marines,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/02/before-alvin-wrote-about-indians-denigs.html,record,url,eng,,
