indexid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
josephy0121,,Finding Rupert's Land,Rich Wandschneider,2015-03-06,"Blog entry from March 6, 2015",Alvin Josephy;Hudson's Bay Company;Rupert's Land;fur trade,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/03/finding-ruperts-land.html,record,url,eng,,
josephy0122,,"Josephy meets the Indian President, Lazaro Cardenas",Rich Wandschneider,2015-02-03,"Blog entry from February 3, 2015",Lazaro Cardenas;Alvin Josephy;Bernard Wolfe;Barbara Kingsolver;Trotsky;the Lacuna,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/02/josephy-meets-indian-president-lazaro.html,record,url,eng,,
josephy0123,,MLK and the Indians,Rich Wandschneider,2015-01-19,"Blog entry from January 19, 2015",AIM;martin luther king;NCAAP;Alvin Josephy;Indian assimilation;MLK;NARF;Civil Rights Movement;Alice Fletcher;Indian genocide;edward curtis;NCAI,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/01/mlk-and-indians.html,record,url,eng,,
josephy0124,,New Intern—and a Life Magazine find,Rich Wandschneider,2015-01-14,"Blog entry from January 14, 2015",Custer Battlefield;Life Magazine;Alvin Josephy;Time Magazine;Josephy Library intern;Crazy Horse,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2015/01/new-internand-life-magazine-find.html,record,url,eng,,
josephy0125,,Following Indians in 2015,Rich Wandschneider,2014-12-30,"Blog entry from December 30, 2014",kenneth lay;mark mariota;oregon ducks;Enron;seattle seahawks;Alvin Josephy;russel wilson;Jack Loeffler;competition,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/12/following-indians-in-2015.html,record,url,eng,,
josephy0126,,Year end summary—and plea!,Rich Wandschneider,2014-12-17,"Blog entry from December 17, 2014",,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/12/year-end-summary-and-plea.html,record,url,eng,,
josephy0127,,Happy Thanksgiving; happy history,Rich Wandschneider,2014-11-25,"Blog entry from November 25, 2014",Alvin Josephy;Thanksgiving;Squanto;Tisquantum;Alfred Crosby,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/11/happy-thanksgiving-happy-history.html,record,url,eng,,
josephy0128,,Tomatoes and trains,Rich Wandschneider,2014-11-06,"Blog entry from November 6, 2014",northern rail route;Rail routes West. Pacific railroads;Pugent Sound;railroad survey;Isaac Stevens,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/11/tomatoes-and-trains.html,record,url,eng,,
josephy0129,,What I forgot to say!,Rich Wandschneider,2014-10-17,"Blog entry from October 17, 2014",Gustav Sohon;McWhorter;Alvin Josephy;Walla walla treaty;Hells Canyon Preservation Council;Nez Perce;HCPC,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/10/what-i-forgot-to-say.html,record,url,eng,,
josephy0130,,The Nez Perce and the Columbian Exchange,Rich Wandschneider,2014-10-08,"Blog entry from October 8, 2014",Columbian Exchange;Charles Mann;Alice Fletcher;Dawes Act;Allen Pinkham;Alvin Josephy;Alfred Crosby;Nez Perce,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/10/the-nez-perce-and-columbian-exchange.html,record,url,eng,,
josephy0131,,Fire—and arrogance,Rich Wandschneider,2014-08-11,"Blog entry from August 11, 2014",Forest fire;fire cycles;Stephen Pyne;Wallowa Resources;Hurricane Creek;Nez Perce,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/08/fire-and-arrogance.html,record,url,eng,,
josephy0132,,Desperation,Rich Wandschneider,2014-07-18,"Blog entry from July 18, 2014",railroads;Luis Urrea;refugees;indentured servants;pre-emption act;homestead act;fur trade,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/07/desperation.html,record,url,eng,,
josephy0133,,"Chester Nez, Indian Patriot",Rich Wandschneider,2014-06-28,"Blog entry from June 28, 2014",WW II in Pacific;Chester Nez;Code Talker;Patriot Chiefs;world war 2;Alvin Josephy;Navajo,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/06/chester-nez-indian-patriot.html,record,url,eng,,
josephy0134,,"Disease, religion, and the 'here and now'",Rich Wandschneider,2014-06-21,"Blog entry from June 21, 2014",smallpox;Brian Fagin;Father Desmet;Marcus Whitman;Plague;Black Death;Salem witch trials;Weyakin,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/06/disease-religion-and-here-and-now.html,record,url,eng,,
josephy0135,,Remembering WW II at the Josephy Center,Rich Wandschneider,2014-06-12,"Blog entry from June 12, 2014",Guam;world war 2;Alvin Josephy;General Denig;william stafford;Jack McClaran;IwoJima,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/06/remembering-ww-ii-at-josephy-center.html,record,url,eng,,
josephy0136,,"Lewis and Clark, Pinkham and Evans, Josephy",Rich Wandschneider,2014-05-10,"Blog entry from May 10, 2014",Lewis and Clark Among the Nez Perce;McWhorter;Allen Pinkham;Alvin Josephy;Lewis and Clark;Steve Evans;Lewis and Clark through Indian Eyes;Undaunted Courage;Corps of Discovery,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/05/lewis-and-clark-pinkham-and-evans.html,record,url,eng,,
josephy0137,,Isaac Stevens' Quest for Fame and Glory!,Rich Wandschneider,2014-04-22,"Blog entry from April 22, 2014",Governor Stevens;Nez Perce treaty;Mexican American War;Civil War;Alvin Josephy;Walla walla treaty;Isaac Stevens,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/04/isaac-stevens-quest-for-fame-and-glory.html,record,url,eng,,
josephy0138,,The Civil War and Nez Perce Treaties,Rich Wandschneider,2014-04-04,"Blog entry from April 4, 2014",1855 treaty;Nez Perce treaty;Civil War and Indians;Stevens treaties;Alvin Josephy;Nez Perce;Civil War In the West,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/04/normal-0-false-false-false-en-us-x-none.html,record,url,eng,,
josephy0139,,"From Nasty, Brutish, and Short to the Pope",Rich Wandschneider,2014-03-14,"Blog entry from March 14, 2014",fagan;nasty brutish and short;hobbes;torture;12 years a slave;pope francis;las casas;hispaniola;slavery,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/03/from-nasty-brutish-and-short-to-pope.html,record,url,eng,,
josephy0140,,Living inside 'the warming',Rich Wandschneider,2014-02-24,"Blog entry from February 24, 2014",Medieval warming;chaco canyon;greenland;Alvin Josephy;global warming;climate change;Alfred Crosby;little ice age;Brian Fagan,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/02/living-inside-warming.html,record,url,eng,,
josephy0141,,A meditation on historiography—Alfred Crosby and Alvin Josephy,Rich Wandschneider,2014-02-05,"Blog entry from February 5, 2014",Charles Mann;historiography;Alvin Josephy;Alfred Crosby,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/02/a-meditation-on-historiographyalfred.html,record,url,eng,,
josephy0142,,The Whitman Massacre—a Truer History,Rich Wandschneider,2014-01-30,"Blog entry from January 30, 2014",Oregon Trail;' Robert Boyd;Fort Nez Perces;measles epidemics;Whitman massacre;Alvin Josephy;Fort Colville;Hudson's Bay Company;Marcus Whitman,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/01/the-whitman-massacrea-truer-history.html,record,url,eng,,
josephy0143,,History's 'Actors',Rich Wandschneider,2014-01-20,"Blog entry from January 20, 2014",Shane;Eliza Spalding;High Noon;Big Read;True Grit;Alvin Josephy;Molly Gloss,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/01/historys-actors.html,record,url,eng,,
josephy0144,,"True Grit, the Civil War, and yes—Alvin Josephy",Rich Wandschneider,2014-01-13,"Blog entry from January 13, 2014",Fishtrap;Quantrill;Charles Portis;True Grit;Alvin Josephy;Kansas;John Wayne;Rooster Cogburn;bushwhackers;Lawrence;Big Read;Sterling Price;jayhawkers,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2014/01/true-grit-civil-war-and-yesalvin-josephy.html,record,url,eng,presidents and kings—and sometimes queens—and the social and political machinations that transfer power from one group,one generation
josephy0145,,Hope,Rich Wandschneider,2013-12-19,"Blog entry from December 19, 2013",rich wandschneider;Peace Corps;Wallowa County,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/12/hope.html,record,url,eng,,
josephy0146,,The end of November,Rich Wandschneider,2013-11-29,"Blog entry from November 29, 2013",Columbian Exchange;Patriot Chiefs;Alvin Josephy;Profiles in Courage;Tecumseh;UCR;Turkey;Denis Strong;JFK;Peace Corps;Thanksgiving;Squanto,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/11/the-end-of-november.html,record,url,eng,chronicling,and explaining. As even casual readers of this blog must realize
josephy0147,,History counts,Rich Wandschneider,2013-11-20,"Blog entry from November 20, 2013",Klamath;1855 treaty;Nez Perce War;termination policy;tribal termination;Nez Perce Fisheries;Nez Perce,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/11/history-counts.html,record,url,eng,,
josephy0148,,Congress catching up with the Indians,Rich Wandschneider,2013-11-05,"Blog entry from November 5, 2013",DOMA;Two-spirit;Berdache;John Fouch;ENDA;Squaw Jim,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/11/congress-catching-up-with-indians.html,record,url,eng,,
josephy0149,,Early photos of Chief Joseph,Rich Wandschneider,2013-10-22,"Blog entry from October 22, 2013",Chief Joseph & the Flight of the Nez Perce;John Fouch;Grace Bartlett;Kent Nerburn;Orlando Gofff;James Brust;Nez Perce;Chief Joseph,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/10/early-photos-of.html,record,url,eng,,
josephy0150,,"Thomas King, G.A. Custer, Lois Riel, David Thompsonâ€¦..",Rich Wandschneider,2013-10-04,"Blog entry from October 4, 2013",Metis;david thompson;Hudson's Bay Company;Louis Riel;Thomas King;Custer,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/10/thomas-king-ga-custer-lois-riel-david.html,record,url,eng,,
josephy0151,,The Second Great Awakening and the Missionaries,Rich Wandschneider,2013-09-13,"Blog entry from September 13, 2013",chaldean;whitman;early american missionaries;spalding;American Board of Commissioners for Foreign Missions;syrian orthodox;Jason Lee;christians in middle east,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/09/the-second-great-awakening-and.html,record,url,eng,,
josephy0152,,Indian Gardens—one more time!,Rich Wandschneider,2013-09-06,"Blog entry from September 6, 2013",maise;history of corn;Indian gardens;mound builders;whitman;Pacific Northwest Indians;spalding;fur trade;pre-columbian agriculture;Iroquis farm,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/09/indian-gardensone-more-time.html,record,url,eng,,
josephy0153,,More on Nez Perce gardens and fur traders,Rich Wandschneider,2013-08-28,"Blog entry from August 28, 2013",Children of the Fur Trade;John C. Jackson;North West Company;david thomspon;Spokane Garry;Hudson's Bay Company;Marcus Whitman;Henry Spalding;fur trade;nez perce gardens,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/08/more-on-nez-perce-gardens-and-fur.html,record,url,eng,,
josephy0154,,"Nez Perce farmers, missionary squabbles, and the Canadian Border",Rich Wandschneider,2013-08-25,"Blog entry from August 25, 2013",Red River School;Reverend Spalding;Spokane Garry;david thompson;Hudson's Bay Company;Fort Spokane;Canadian border;Nez Perce;Spokane House,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/08/nez-perce-farmers-missionary-squabbles.html,record,url,eng,,
josephy0155,,Guest blogger—Summer Intern Erik Anderson,Rich Wandschneider,2013-07-30,"Blog entry from July 30, 2013",Indian history;Erik Anderson;Josephy Library;Whitman College;Walla walla treaty,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/07/guest-blooger-summer-intern-erik.html,record,url,eng,,
josephy0156,,Lakota and Dakota—unfortunate 'canaries' in Indian America,Rich Wandschneider,2013-07-25,"Blog entry from July 25, 2013",Wounded Knee;Sioux;President Lincoln and Indians;Lakota;Pine Ridge;Minnesota Indian uprising;NYT editorial july 23;Dakota Indians,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/07/lakota-and-dakotaunfortunate-canaries.html,record,url,eng,,
josephy0157,,Indian Frybread,Rich Wandschneider,2013-07-20,"Blog entry from July 20, 2013",frybread;Kit Carson;Removal Act of 1830;Long Walk;demise of buffalo;Navajo Long Walk;Indian frybread,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/07/indian.html,record,url,eng,,
josephy0158,,Rail Routes West,Rich Wandschneider,2013-07-03,"Blog entry from July 3, 2013",Robert Sawyer;northern rail route;Grace Bartlett;Stevens treaties;Rail routes West. Pacific railroads;Civil War In the West;Isaac Stevens,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/07/rail-routes-west.html,record,url,eng,,
josephy0159,,Indians and the Civil War,Rich Wandschneider,2013-06-25,"Blog entry from June 25, 2013",New Ulm;Minnesota Indians;Sand Creek Massacre;Bear River Massacre;Alvin Josephy;Chivington;Civil War In the West;Colonel Patrick Conner,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/06/indians-and-civil-war.html,record,url,eng,,
josephy0160,,Notes on Library holdings,Rich Wandschneider,2013-06-18,"Blog entry from June 18, 2013",Josephy Library;Historical periodicals;Western History;American Indian history,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/06/notes-on-library-holdings.html,record,url,eng,,
josephy0161,,The Nespelem Art Colony,Rich Wandschneider,2013-06-10,"Blog entry from June 10, 2013",American art colonies;Colville confederated tribes.Chief Joseph Band;American Scene Movement;Nespelem arr colony;Indian Summers: Washington State College,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/06/the-nespelem-art-community.html,record,url,eng,,
josephy0162,,A Day in the Josephy Library,Rich Wandschneider,2013-06-06,"Blog entry from June 6, 2013",Homeland Project;Josephy Library;Willamette Indian Studies;Wallowa;Wallowa County;Oregon;Nez Perce;Chief Joseph;Indian mascot names,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/06/a-day-in-josephy-library.html,record,url,eng,,
josephy0163,,"Summer in the Library—brown bag lunches, art books, OHQs, and a student intern!",Rich Wandschneider,2013-05-24,"Blog entry from May 24, 2013",1855 treaty;Mike Kolaski;Catlin;Kane;Nez Perce treaties;Bodmer;oregon historical quarterly,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/05/summer-in-librarybrown-bag-lunches-art.html,record,url,eng,,
josephy0164,,Indentured servants and other old world influences on the new,Rich Wandschneider,2013-05-06,"Blog entry from May 6, 2013",jamestown;indentured servants;Manifest Destiny;New France;little germany;Mertis;German immigrants,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/05/indentured-servants-and-other-old-world.html,record,url,eng,,
josephy0165,,Royal Americans,Rich Wandschneider,2013-04-29,"Blog entry from April 29, 2013",john white;King Hendrick;KPhilip's War;Alvin Josephy;King Philip,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/04/royal-americans.html,record,url,eng,,
josephy0166,,More on Missionaries—and on Catholic and Protestant 'Ladders',Rich Wandschneider,2013-04-19,"Blog entry from April 19, 2013",Flatheads;Eliza Spalding;catholic indian missions;Lapwai;Whitman massacre;Jesuit mission montana;father point;Catholic Ladder;Henry Spalding;oregon historical quarterly;quipo,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/04/more-on-missionaries-and-on-catholic.html,record,url,eng,,
josephy0167,,JFK on Indians,Rich Wandschneider,2013-04-12,"Blog entry from April 12, 2013",American Heritage Book of Indians;American Heritage;John F. Kennedy;Alvin Josephy;American Indians;de Oviedo,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/04/jfk-on-indians.html,record,url,eng,,
josephy0168,,Browsing and Black Robes,Rich Wandschneider,2013-04-05,"Blog entry from April 5, 2013",catholic indian missions;Josephy Library;father de smet;Black robes;oregon historical quarterly;nicolas point,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/04/browsing-and-black-robes.html,record,url,eng,&quot;serif&quot;; mso-fareast-font-family: &quot;Times New Roman&quot;;''><span style=''mso-font-kerning: 18.0pt;''>Instructors and students from Washington State College came to the Colville Reservation for five summers,mimicking art colonies and the “American Scene Movement” that was going on across the country.&nbsp; They painted landscapes
josephy0169,,Invisible women,Rich Wandschneider,2013-03-27,"Blog entry from March 27, 2013",Wallowas;civil war American West;Tough by Nature;Alvin Josephy;Oregon Historical Society;lynda lanker;Susan Armitage;The Women's West,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/03/invisible-women.html,record,url,eng,,
josephy0170,,The most famous Indian in America,Rich Wandschneider,2013-03-13,"Blog entry from March 13, 2013",Fort Keogh;Bismarck;Flight of the Nez Perce;General Howard;Nez Perce;Nez Perce War;Chief Joseph;Ollokot;General Miles;Leavenworth;Buffalo Bill's Wild West;Kent Nerburn;Sitting Bull;Baxter Springs,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/03/the-most-famous-indian-in-america.html,record,url,eng,,
josephy0171,,Colonial Habits of Mind,Rich Wandschneider,2013-03-06,"Blog entry from March 6, 2013",AlvinJosephy;Bernard Bailyn;Pacific Northwest;The Barbarous Years: The Peopling of British North America;Farthest Frontier;Eurocentrism;daniel richter;Sidney Warren,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/03/normal-0-false-false-false-en-us-x-none.html,record,url,eng,,
josephy0172,,A bit of Christmas every day,Rich Wandschneider,2013-03-01,"Blog entry from March 1, 2013",Galaxy Magazine;WW II in Pacific;Tales of the South Pacific first edition;James Michener;landing at Guam;Walk Toward Oregon;The Long and the Short and the Tall;Peter Decker,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/03/a-bit-of-christmas-every-day.html,record,url,eng,,
josephy0173,,A puzzle re the Treaty of 1863,Rich Wandschneider,2013-02-22,"Blog entry from February 22, 2013",1863 treaty;1855 treaty;Nez Perce Indians;Indian wars;Wallowa Country;Walla walla treaty;Indian treaties;Idaho gold rush;Isaac Stevens,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/02/a-puzzle-re-treaty-of-1863.html,record,url,eng,,
josephy0174,,Fear of Indians,Rich Wandschneider,2013-02-12,"Blog entry from February 12, 2013",missionary movement;noble savage;rousseau;Hudson Bay Company;Alvin Josephy;plains Indians;Peter Rindisbacher,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/02/fear-of-indians.html,record,url,eng,,
josephy0175,,The Shadow Catcher,Rich Wandschneider,2013-02-06,"Blog entry from February 6, 2013",Little Big Hole;North American Indian;Tim Egan;edward curtis;Shadow Catcher;vanishing Indian;Custer,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/02/the-shadow-catcher.html,record,url,eng,,
josephy0176,,"The Josephy Library, January 30, 2013",Rich Wandschneider,2013-01-30,"Blog entry from January 30, 2013",Josephy Library;Alvin Josephy;Nez Perce Indians and the Opening of the Northwest;SAGE libraries,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/01/the-josephy-library-january-30-2013.html,record,url,eng,,
josephy0177,,A different Oregon history,Rich Wandschneider,2013-01-25,"Blog entry from January 25, 2013",joseph gale;Oregon history;Hudson Bay Company;Chief Joseph's daughter;Eliza Gale;Oregon territory,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/01/history-how-things-might-have-been.html,record,url,eng,,
josephy0178,,"Martin Luther King Day, 2013: embracing the dream",Rich Wandschneider,2013-01-21,"Blog entry from January 21, 2013",joseph gale;black cowboys;george fletcher;martin luther king;fur traders;david thompson;umatilla reservation;pendleton roundup,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/01/martin-luther-king-day-2013-embracing.html,record,url,eng,,
josephy0179,,On libraries and generosity,Rich Wandschneider,2013-01-13,"Blog entry from January 13, 2013",Fahrenheit 451;Seattle Public Library;Josephy Library;Josephy Center;Oregon State Library;Ray Bradbury;generosity,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/01/on-libraries-and-generosity.html,record,url,eng,,
josephy0180,,Senator Daniel Inouye and the Museum of the American Indian,Rich Wandschneider,2013-01-03,"Blog entry from January 3, 2013",NMAI;Senator Daniel Inouye;Alvin Josephy;George Gustav Heye;Museum of American Indian;Smithsonian;Heye Center;Heye Foundation,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2013/01/senator-daniel-inouye-and-museum-of.html,record,url,eng,,
josephy0181,,The History Urge,Rich Wandschneider,2012-12-13,"Blog entry from December 13, 2012",Time-Life books;Indian massacres;Civil War and Indians;Alvin Josephy;Sand Creek;Bear River;Gordon Chappell;Alvin M. Josephy Jr.;Civil War In the West,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/12/the-history-urge.html,record,url,eng,,
josephy0182,,Beaver hats,Rich Wandschneider,2012-12-06,"Blog entry from December 6, 2012",Columbian Exchange;smallpox;Plymouth;fur traders;Alvin Josephy;Hudson's Bay Company;Louisiana Purchase;fur trade;American West Magazine;Charles Mann;Hudson Bay Company;1491;beaver hats;Plymouth colony,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/12/beaver-hats_6.html,record,url,eng,,
josephy0183,,More thoughts on Walter Littlemoon & Indian Boarding Schools,Rich Wandschneider,2012-11-29,"Blog entry from November 29, 2012",Wild West Show;Thick Dark Fog;Walter Littlemoon;Fosston;White Earth Reservation;Indian boarding schools;Mn;Pine Ridge reservation;vanishing Indian;Itasca State Park,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/11/more-thoughts-on-walter-littlemoon.html,record,url,eng,,
josephy0184,,Happy Thanksgiving,Rich Wandschneider,2012-11-21,"Blog entry from November 21, 2012",boarding schools;Maria Tallchief;Thick Dark Fog;Nativetelecom;Smoke Signals;Josephy Library;Sandra Osawa;Nez Perce;Chief Joseph;Walter Littlemoon;termination policy;Jim Pepper,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/11/happy-thanksgiving.html,record,url,eng,,
josephy0185,,"Class discussion: Charlemagne Napoleon, protein and white bread",Rich Wandschneider,2012-11-16,"Blog entry from November 16, 2012",American Indian diet;Indian diet;civil war American West;Alvin Josephy;demise of buffalo;colonialism;little ice age;commodity foods,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/11/class-discussion-chalegange-napolion.html,record,url,eng,,
josephy0186,,What might have been,Rich Wandschneider,2012-10-25,"Blog entry from October 25, 2012",Anglo-American;Metis;Treaty of Ghent;Pacific Northwest History Conference;Alvin Josephy;Manifest Destiny,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/10/what-might-have-been.html,record,url,eng,,
josephy0187,,On the way to the academy,Rich Wandschneider,2012-10-11,"Blog entry from October 11, 2012",500 Naions;Civil War and Indians;Pacific Northwest History Conference;Sand Creek Massacre;Bear River Massacre;Alvin Josephy,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/10/on-way-to-academy.html,record,url,eng,,
josephy0188,,The romantic side of assimilation,Rich Wandschneider,2012-09-26,"Blog entry from September 26, 2012",john white;Trail of Tears;rousseau;Alvin Josephy;caribbean indians;edward curtis;christopher columbus;vanishing Indian;vanishing race;noble savages,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/09/the-romantic-side-of-assimilation.html,record,url,eng,,
josephy0189,,The assimilationists,Rich Wandschneider,2012-09-17,"Blog entry from September 17, 2012",Dawes Act;In the Wallowas;Nez Perce Indians;Alvin Josephy;Caroline Wasson Thomason;termination policy;Wallowa Country;assimilation;Edward Sheriff Curtis;vanishing Indian,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/09/the-assimilationists.html,record,url,eng,,
josephy0190,,Nation of immigrants?,Rich Wandschneider,2012-09-06,"Blog entry from September 6, 2012",potato;Charles Mann;pilgrims;daughters of the American Revolution;american immigrants;Alvin Josephy;tobacco;nation of immigrants,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/09/nation-of-immigrants.html,record,url,eng,,
josephy0191,,Another Indian statue,Rich Wandschneider,2012-08-15,"Blog entry from August 15, 2012",Chief Joseph statues;Christy Walton;Georgia Bunn;Nez Perce Indians;Alvin Josephy;Nez Perce Fisheries;Edward Sheriff Curtis;Chief Joseph;Valley Bronze foundry,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/08/another-indian-statue_15.html,record,url,eng,,
josephy0192,,Small pieces of history,Rich Wandschneider,2012-07-26,"Blog entry from July 26, 2012",Tamkaliks;Grace Bartlett;Alvin Jospehy;Sohon drawings. Gustovus Sohon;Nez Perce,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/07/small-pieces-of-history.html,record,url,eng,,
josephy0193,,The Archivists come to town,Rich Wandschneider,2012-07-04,"Blog entry from July 4, 2012",Garth Reese;Wallowa County Museum;Tamkaliks;Chief Joseph Cemetery;Grace Bartlett;Lewis and Clark Library;University of Idaho Library;Alvin Josephy;Doug Erickson;Nez Perce;Devin Becker,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/07/archists-come-to-town.html,record,url,eng,,
josephy0194,,The Nez Perce Story—again,Rich Wandschneider,2012-06-27,"Blog entry from June 27, 2012",Diane Peavey;Dick Brown;Nez Perce Indians and Opening of the Northwest;Diane Josephy Peavey;Lapwai;caritas chorale;Boise Symphony;Nez Perce,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/06/nez-perce-storyagain.html,record,url,eng,,
josephy0195,,Something for the Birds,Rich Wandschneider,2012-06-21,"Blog entry from June 21, 2012",Red Clay;Alvin Josephy;Bill Kittredge;Craig Lesley;Ivan Doig;Something for the Birds,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/06/something-for-birds.html,record,url,eng,,
josephy0196,,A poet's—and teacher's—ear: Josephy and Kim Stafford,Rich Wandschneider,2012-05-28,"Blog entry from May 28, 2012",,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/05/poets-and-teachers-ear-josephy-and-kim.html,record,url,eng,,
josephy0197,,Blinded by the times,Rich Wandschneider,2012-05-15,"Blog entry from May 15, 2012",draft lottery;Fishtrap Vietnam;girls say no;John Adams and slavery;Valerie Miner;Alvin Josephy;Vietnam legacy;Hudson's Bay Company;Jefferson's slaves;fur trade,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/05/blinded-by-times.html,record,url,eng,,
josephy0198,,The Hudson's Bay Company and the Indians,Rich Wandschneider,2012-05-02,"Blog entry from May 2, 2012",New York Brand Book;The Westerners;Alfred Seton;fur traders;Hudson Bay Company;Duncan McDougall;Alvin Josephy;Fayre and Gentle Meanes;Hudson's Bay Company;fur trade;Alvin M. Josephy Jr.,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/05/hudsons-bay-company-and-indians.html,record,url,eng,,
josephy0199,,Through Indian Eyes,Rich Wandschneider,2012-04-19,"Blog entry from April 19, 2012",Otis Halfmoon;Stephen Ambrose;Lewis and Clark through Indian Eyes;Undaunted Courage;Watkuweis;Corps of Discovery,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/04/through-indian-eyes.html,record,url,eng,,
josephy0200,,Noble Savage',Rich Wandschneider,2012-04-13,"Blog entry from April 13, 2012",noble savage;Maria Tallchief;Dawes Act;Sandy Osawa;Alvin Josephy;tribal termination;Indian assimilation,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2012/04/noble-savage.html,record,url,eng,,
